"subID","t","session","trialN","action","reinforcement","stimuliType","stim"
"0K1wfNeZSEQZZcNzLeqpdLpNif73",1,1,1,0,0,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",2,1,2,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",3,1,3,0,0,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",4,1,4,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",5,1,5,0,0,"GoToWin",1
"0K1wfNeZSEQZZcNzLeqpdLpNif73",6,1,6,0,0,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",7,1,7,0,-1,"GoToAvoidLoss",3
"0K1wfNeZSEQZZcNzLeqpdLpNif73",8,1,8,0,-1,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",9,1,9,0,0,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",10,1,10,0,-1,"GoToAvoidLoss",3
"0K1wfNeZSEQZZcNzLeqpdLpNif73",11,1,11,0,0,"GoToAvoidLoss",3
"0K1wfNeZSEQZZcNzLeqpdLpNif73",12,1,12,0,0,"GoToWin",1
"0K1wfNeZSEQZZcNzLeqpdLpNif73",13,1,13,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",14,1,14,0,0,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",15,1,15,0,0,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",16,1,16,0,0,"GoToWin",1
"0K1wfNeZSEQZZcNzLeqpdLpNif73",17,1,17,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",18,1,18,0,0,"NoGoToAvoidLoss",4
"0K1wfNeZSEQZZcNzLeqpdLpNif73",19,1,19,0,-1,"GoToAvoidLoss",3
"0K1wfNeZSEQZZcNzLeqpdLpNif73",20,1,20,0,-1,"GoToAvoidLoss",3
"0K1wfNeZSEQZZcNzLeqpdLpNif73",21,1,21,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",22,1,22,0,1,"GoToWin",1
"0K1wfNeZSEQZZcNzLeqpdLpNif73",23,1,23,0,-1,"GoToAvoidLoss",3
"0K1wfNeZSEQZZcNzLeqpdLpNif73",24,1,24,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",25,1,25,0,1,"NoGoToWin",2
"0K1wfNeZSEQZZcNzLeqpdLpNif73",26,1,26,0,0,"GoToWin",1
"0K1wfNeZSEQZZcNzLeqpdLpNif73",27,1,27,0,0,"GoToWin",1
